trace,run,timestamp_s,cpu_percent,thread_count,memory_footprint_mb
native_mb_02min,1,0.0,,1.0,0.06267547607421875
native_mb_02min,1,0.11521787500000001,26.783190151,8.0,15.110275268554688
native_mb_02min,1,1.092796458,114.908734359,13.0,59.516639709472656
native_mb_02min,1,2.1037983330000003,136.493703294,18.0,247.36050415039062
native_mb_02min,1,3.1801606660000004,44.528676109,18.0,268.8605041503906
native_mb_02min,1,4.1338075000000005,54.004544642,18.0,268.0948791503906
native_mb_02min,1,5.162677541000001,46.291225268,18.0,268.3761291503906
native_mb_02min,1,6.133652541,51.162997966,17.0,268.2823791503906
native_mb_02min,1,7.132582,50.937998566,13.0,267.9230041503906
native_mb_02min,1,8.172184625,48.339483214,13.0,267.9230041503906
native_mb_02min,1,9.182464083000001,49.1288528,13.0,267.9542541503906
native_mb_02min,1,10.244410291000001,51.519745117,13.0,267.9542541503906
native_mb_02min,1,11.273772583000001,51.511697859,13.0,267.9542541503906
native_mb_02min,1,12.307422708,50.821397029,13.0,267.9698791503906
native_mb_02min,1,13.337076291,51.46103769,13.0,267.9386291503906
native_mb_02min,1,14.376079791,52.098926389,13.0,267.9542541503906
native_mb_02min,1,15.427886,52.986089274,13.0,267.9542541503906
native_mb_02min,1,16.467715458,49.343960769,13.0,267.9542541503906
native_mb_02min,1,17.478352666000003,51.132674459,13.0,267.9698791503906
native_mb_02min,1,18.553901458000002,52.459365359,13.0,267.9855041503906
native_mb_02min,1,19.584571750000002,53.278425949,13.0,267.9698791503906
native_mb_02min,1,20.615254791,48.561714555,13.0,267.9698791503906
native_mb_02min,1,21.614984833,49.155748596,13.0,267.9542541503906
native_mb_02min,1,22.634592958000002,52.736914797,13.0,267.9073791503906
native_mb_02min,1,23.632105333000002,52.368275661,13.0,267.9230041503906
native_mb_02min,1,24.637675833000003,50.770033632,13.0,267.9230041503906
native_mb_02min,1,25.644021166,50.521211694,13.0,267.9073791503906
native_mb_02min,1,26.682393083,51.713269284,13.0,267.9230041503906
native_mb_02min,1,27.745411958000002,48.270584562,13.0,267.9073791503906
native_mb_02min,1,28.78635625,50.14003448,13.0,267.9073791503906
native_mb_02min,1,29.846133791000003,49.363283506,13.0,267.9073791503906
native_mb_02min,1,30.876373166,50.119753242,13.0,267.9073791503906
native_mb_02min,1,31.886161166,51.937698058,13.0,267.9073791503906
native_mb_02min,1,32.945371833,48.917993745,13.0,267.9230041503906
native_mb_02min,1,33.976306166,49.587684875,13.0,267.9230041503906
native_mb_02min,1,35.036974875000006,50.520769784,13.0,267.9073791503906
native_mb_02min,1,36.070180583,52.393748452,13.0,267.8917541503906
native_mb_02min,1,37.099996000000004,51.489131995,13.0,267.9073791503906
native_mb_02min,1,38.127456041,53.022578407,13.0,267.9073791503906
native_mb_02min,1,39.129574791,50.959370611,13.0,267.9073791503906
native_mb_02min,1,40.147146791000004,51.129814262,13.0,267.9073791503906
native_mb_02min,1,41.1828335,47.114973818,13.0,267.9073791503906
