trace,run,start_s,duration_s,thermal_state
native_ml_05min,1,148.032322583,153.197692456,Fair
native_ml_05min,2,0.0,300.991515159,Serious
native_ml_05min,3,0.0,300.87284374200004,Serious
native_ml_05min,4,0.0,301.162663936,Serious
native_ml_05min,5,0.0,53.058513500000004,Serious
native_ml_05min,5,53.058513500000004,34.998803208000005,Fair
native_ml_05min,5,88.057316708,212.838004422,Serious
native_ml_05min,6,0.0,300.92812705,Serious
native_ml_05min,7,0.0,301.161072015,Serious
native_ml_05min,8,0.0,301.193317174,Serious
native_ml_05min,9,0.0,301.207932949,Serious
native_ml_05min,10,0.0,55.042831166000006,Fair
native_ml_05min,10,55.042831166000006,246.145321147,Serious
