trace,run,timestamp_s,duration_ms,hang_type
cross_mb_05min,5,16.027388000000002,199.895375,Brief Unresponsiveness
cross_mb_05min,5,196.89399541600002,199.21670899999998,Brief Unresponsiveness
cross_mb_05min,5,226.42900104100002,147.86225,Brief Unresponsiveness
cross_mb_02min,1,120.53502475,105.88206,Brief Unresponsiveness
cross_mb_02min,2,120.527361583,368.388462,Microhang
cross_mb_02min,4,120.52056812500001,425.48299499999996,Microhang
cross_mb_02min,5,97.80868487500001,407.319958,Microhang
cross_mb_02min,9,70.453881666,165.700209,Brief Unresponsiveness
cross_mb_02min,9,113.37656145800001,149.254958,Brief Unresponsiveness
cross_mb_02min,10,120.528439625,290.853397,Microhang
cross_ml_05min,1,6.703986541000001,123.70079199999999,Brief Unresponsiveness
cross_ml_05min,1,6.835889625,164.300708,Brief Unresponsiveness
cross_ml_05min,4,23.521707416,349.059209,Microhang
cross_ml_05min,4,24.568823916000003,131.15087499999998,Brief Unresponsiveness
cross_ml_05min,4,30.108838583,232.665583,Brief Unresponsiveness
cross_ml_05min,4,36.780505416000004,214.84408399999998,Brief Unresponsiveness
cross_ml_05min,4,294.58427379100004,199.14570899999998,Brief Unresponsiveness
cross_ml_05min,4,294.88307975000004,110.779416,Brief Unresponsiveness
native_ml_05min,1,3.784268458,175.595708,Brief Unresponsiveness
native_ml_05min,1,3.9598661250000005,126.693958,Brief Unresponsiveness
native_ml_05min,1,4.088707833,126.141167,Brief Unresponsiveness
native_ml_05min,1,17.489581208,145.43574999999998,Brief Unresponsiveness
native_ml_05min,1,86.32687675000001,132.36737499999998,Brief Unresponsiveness
native_ml_05min,1,186.269279291,214.48412499999998,Brief Unresponsiveness
native_ml_05min,1,282.22174054100003,181.805875,Brief Unresponsiveness
native_ml_05min,1,301.024466166,205.548873,Brief Unresponsiveness
native_ml_05min,2,2.4817644580000002,154.206958,Brief Unresponsiveness
native_ml_05min,2,2.651677916,170.512084,Brief Unresponsiveness
native_ml_05min,2,2.823499625,116.671166,Brief Unresponsiveness
native_ml_05min,2,61.881199,166.950541,Brief Unresponsiveness
native_ml_05min,3,2.647356208,182.180333,Brief Unresponsiveness
native_ml_05min,3,2.9343900410000003,172.803167,Brief Unresponsiveness
native_ml_05min,3,22.013295708,139.329833,Brief Unresponsiveness
native_ml_05min,4,2.603791875,202.58570799999998,Brief Unresponsiveness
native_ml_05min,4,2.806381625,151.321166,Brief Unresponsiveness
native_ml_05min,4,2.9744217500000003,194.00616599999998,Brief Unresponsiveness
native_ml_05min,4,21.924686791000003,147.991375,Brief Unresponsiveness
native_ml_05min,4,91.294876458,117.643208,Brief Unresponsiveness
native_ml_05min,4,91.825619958,196.69,Brief Unresponsiveness
native_ml_05min,4,301.02579525000004,136.868686,Brief Unresponsiveness
native_ml_05min,5,2.720947083,150.38370799999998,Brief Unresponsiveness
native_ml_05min,5,2.9734732910000004,163.885875,Brief Unresponsiveness
native_ml_05min,5,15.002973375000002,114.60262499999999,Brief Unresponsiveness
native_ml_05min,6,2.621580458,171.688583,Brief Unresponsiveness
native_ml_05min,6,2.7932736250000003,142.047583,Brief Unresponsiveness
native_ml_05min,6,2.95266075,138.734875,Brief Unresponsiveness
native_ml_05min,6,12.496106625000001,120.388666,Brief Unresponsiveness
native_ml_05min,6,198.12327337500002,117.19475,Brief Unresponsiveness
native_ml_05min,7,2.666243333,182.664625,Brief Unresponsiveness
native_ml_05min,7,2.848910666,119.106292,Brief Unresponsiveness
native_ml_05min,7,2.9844075410000004,148.513834,Brief Unresponsiveness
native_ml_05min,7,9.747427166000001,144.857792,Brief Unresponsiveness
native_ml_05min,8,3.314209458,348.265667,Microhang
native_ml_05min,8,3.728226041,251.37712499999998,Microhang
native_ml_05min,8,3.990593,140.09616599999998,Brief Unresponsiveness
native_ml_05min,8,15.432598791,216.34491699999998,Brief Unresponsiveness
native_ml_05min,8,16.52698175,183.05279099999998,Brief Unresponsiveness
native_ml_05min,8,301.022127291,171.18988299999998,Brief Unresponsiveness
native_ml_05min,9,3.0606913330000003,255.78116699999998,Microhang
native_ml_05min,9,3.31647625,216.809958,Brief Unresponsiveness
native_ml_05min,9,3.557466541,192.92387499999998,Brief Unresponsiveness
native_ml_05min,9,20.425841166,145.719167,Brief Unresponsiveness
native_ml_05min,9,301.03605200000004,171.880949,Brief Unresponsiveness
native_ml_05min,10,4.067104208,150.09658299999998,Brief Unresponsiveness
native_ml_05min,10,4.217202875,142.654958,Brief Unresponsiveness
native_ml_05min,10,4.379709125000001,130.71699999999998,Brief Unresponsiveness
native_ml_05min,10,8.107355375000001,116.70983299999999,Brief Unresponsiveness
native_ml_05min,10,22.710428583000002,199.171167,Brief Unresponsiveness
native_ml_05min,10,301.01691583300004,171.23648,Brief Unresponsiveness
