trace,run,timestamp_s,memory_anonymous_mb
native_mb_02min,2,9.360599041,83.46875
native_mb_02min,2,10.390899125,83.421875
native_mb_02min,2,11.451131,83.4375
native_mb_02min,2,12.502925125,83.453125
native_mb_02min,2,13.555385458000002,83.46875
native_mb_02min,2,14.585829708,83.46875
native_mb_02min,2,15.595481958,83.5
native_mb_02min,2,16.594212875,83.5
native_mb_02min,2,17.598477625,83.5
native_mb_02min,2,18.597609083000002,83.484375
native_mb_02min,2,19.610023166,85.1875
native_mb_02min,2,20.643351708,84.953125
native_mb_02min,2,21.684022375,85.015625
native_mb_02min,2,22.692232416000003,85.078125
native_mb_02min,2,23.783623541,85.078125
native_mb_02min,2,24.792018125000002,85.03125
native_mb_02min,2,25.858213916,85.03125
native_mb_02min,2,26.898557375000003,85.234375
native_mb_02min,2,27.965674875,85.03125
native_mb_02min,2,28.994912833,84.9375
native_mb_02min,2,30.002095041,84.9375
native_mb_02min,2,31.061775500000003,84.84375
native_mb_02min,2,32.110608833,84.84375
native_mb_02min,2,33.121937375,84.84375
native_mb_02min,2,34.131903208000004,84.84375
native_mb_02min,2,35.122805458,84.84375
native_mb_02min,2,36.141308333000005,84.84375
native_mb_02min,2,37.142637666,84.84375
native_mb_02min,2,38.1401515,84.84375
native_mb_02min,2,39.196867666,84.8125
native_mb_02min,2,40.200227291000004,84.8125
native_mb_02min,2,41.20185325,84.8125
native_mb_02min,2,42.266078375,84.8125
native_mb_02min,2,43.298990708000005,84.8125
native_mb_02min,2,44.373701666,84.8125
native_mb_02min,2,45.404050416000004,84.8125
native_mb_02min,2,46.468258083,84.8125
native_mb_02min,2,47.49720775,84.8125
native_mb_02min,2,48.506555541000004,84.8125
native_mb_02min,2,49.556620583000004,84.8125
native_mb_02min,2,50.61384875,84.8125
native_mb_02min,2,51.624187541000005,84.828125
native_mb_02min,2,52.62695525,84.828125
native_mb_02min,2,53.637112083000005,84.828125
native_mb_02min,2,54.641338375000004,84.828125
native_mb_02min,2,55.68976425,84.828125
