trace,framework,ar_mode,session,run,run_duration_s,fps_mean,fps_p5,fps_stdev,fps_frames_below_55_pct,pct_nominal,pct_fair,pct_serious,pct_critical,dominant_state,hang_count,duration_total_ms,duration_max_ms,cpu_percent_mean,cpu_percent_max,thread_count_mean,memory_footprint_peak_mb,memory_growth_mb,memory_anonymous_mb_max,gpu_device_util_mean,gpu_in_use_sys_mem_mean
cross_mb_02min,Unity,Markerbased,2 min,1,120.6,57.333333333333336,57.95,11.18998151359107,5.0,59.85711220799137,40.14288779200863,0.0,0.0,Nominal,1,105.88206,105.88206,115.88139592729915,176.670173176,50.516949152542374,461.70482635498047,461.64215087890625,309.84375,30.616666666666667,207.90638020833333
cross_mb_02min,Unity,Markerbased,2 min,2,120.9,48.49166666666667,29.0,16.559034109641107,34.166666666666664,0.0,70.24464339597539,29.755356604024612,0.0,Fair,1,368.388462,368.388462,104.14266335317947,178.612227892,50.09322033898305,458.2673645019531,458.2046890258789,306.8125,23.6,202.240234375
cross_mb_02min,Unity,Markerbased,2 min,3,120.9,30.68595041322314,29.0,7.151961336877272,98.34710743801654,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,96.56755005127354,142.769916049,49.90677966101695,441.1736145019531,441.1109390258789,291.40625,15.231404958677686,193.13081095041323
cross_mb_02min,Unity,Markerbased,2 min,4,120.9,38.578512396694215,29.0,15.129855730814546,70.24793388429752,0.0,28.939258599913188,71.06074140008681,0.0,Serious,1,425.48299499999996,425.48299499999996,98.29911469752992,127.076244943,50.26271186440678,455.50170135498047,455.43902587890625,304.75,20.173553719008265,202.8774535123967
cross_mb_02min,Unity,Markerbased,2 min,5,121.0,30.198347107438018,29.0,6.823513067219289,97.52066115702479,0.0,0.0,100.0,0.0,Serious,1,407.319958,407.319958,95.45879125401706,156.20839637,51.16101694915254,452.4547882080078,452.3921127319336,301.265625,16.140495867768596,193.55604338842974
cross_mb_02min,Unity,Markerbased,2 min,6,120.9,29.908333333333335,29.0,6.592580287409351,98.33333333333333,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,90.90303943813674,137.406991982,51.16101694915254,429.87670135498047,429.81402587890625,281.109375,16.675,196.04778645833332
cross_mb_02min,Unity,Markerbased,2 min,7,120.8,29.858333333333334,29.0,6.697918695082704,98.33333333333333,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,97.43281779498291,136.764114115,50.30508474576271,430.5016632080078,430.4389877319336,281.828125,16.125,199.67096354166668
cross_mb_02min,Unity,Markerbased,2 min,9,120.9,41.225,29.0,15.687313559774635,61.66666666666667,0.0,37.22752074569817,62.772479254301835,0.0,Serious,2,314.95516699999996,165.700209,103.59572660628203,136.86136279,50.30508474576271,439.50170135498047,439.43902587890625,290.328125,19.966666666666665,202.35065104166668
cross_mb_02min,Unity,Markerbased,2 min,10,120.8,29.75,29.0,7.272891995842732,97.5,0.0,0.0,100.0,0.0,Serious,1,290.853397,290.853397,93.99891854018102,141.750202299,49.743589743589745,423.5485382080078,423.4858627319336,272.59375,15.958333333333334,198.0203125
cross_mb_02min,Unity,Markerbased,2 min,11,120.8,29.725,28.95,7.439348598030959,98.33333333333333,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,99.38385978686208,161.252375914,49.69230769230769,430.81420135498047,430.75152587890625,281.0,16.091666666666665,194.36536458333333
cross_mb_05min,Unity,Markerbased,5 min,1,301.1,58.08695652173913,59.0,9.275742183520965,3.678929765886288,100.0,0.0,0.0,0.0,Nominal,9,1504.270153,232.14108399999998,100.9815669020756,155.864226737,50.955479452054796,464.9860382080078,464.9233627319336,311.734375,28.214046822742475,209.57420568561872
cross_mb_05min,Unity,Markerbased,5 min,2,300.6,58.46153846153846,59.0,8.087671389075894,2.6755852842809364,41.371086136291154,58.628913863708846,0.0,0.0,Fair,0,0.0,0.0,105.13911254324054,136.187654838,51.284246575342465,460.39232635498047,460.32965087890625,309.875,30.05351170568562,208.69596571906354
cross_mb_05min,Unity,Markerbased,5 min,3,300.8,54.52842809364549,29.0,12.972933666811967,15.384615384615385,40.9698775039672,46.535597684487925,12.49452481154489,0.0,Fair,0,0.0,0.0,105.29205667711379,162.208243255,51.233676975945016,460.6579132080078,460.5952377319336,308.390625,28.093645484949832,207.77602424749165
cross_mb_05min,Unity,Markerbased,5 min,4,300.9,40.414715719063544,29.0,15.589164974434045,62.87625418060201,22.975103462370637,16.616615724165488,60.408280813463875,0.0,Serious,1,140.727292,140.727292,94.51345575381787,159.454622876,50.66438356164384,463.6579132080078,463.5952377319336,311.53125,22.59531772575251,202.1399456521739
cross_mb_05min,Unity,Markerbased,5 min,5,300.9,29.331103678929765,29.0,4.616217667780485,99.33110367892976,0.0,0.0,100.0,0.0,Serious,3,546.974334,199.895375,94.2859865377251,181.770556306,51.236301369863014,453.3610382080078,453.2983627319336,303.859375,16.91638795986622,198.93828386287626
cross_mb_05min,Unity,Markerbased,5 min,6,301.0,29.94983277591973,29.0,4.944744173198976,99.33110367892976,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,88.74756896705479,165.653675556,50.63139931740614,463.5172882080078,463.4546127319336,314.828125,16.307692307692307,200.49592391304347
cross_mb_05min,Unity,Markerbased,5 min,7,301.0,29.451505016722408,29.0,4.912675982722284,99.33110367892976,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,87.67959426848797,133.229913847,50.647260273972606,458.00170135498047,457.93902587890625,309.40625,16.183946488294314,197.96383779264215
cross_mb_05min,Unity,Markerbased,5 min,8,300.9,29.367892976588628,29.0,5.01926883515062,98.99665551839465,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,89.81534960089726,145.249873391,50.96928327645051,451.57982635498047,451.51715087890625,302.8125,15.842809364548495,195.89266304347825
cross_mb_05min,Unity,Markerbased,5 min,9,301.0,29.732441471571907,29.0,4.860674725211985,99.33110367892976,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,98.6299460517079,152.485085994,50.83904109589041,462.0641632080078,462.0014877319336,310.828125,15.862876254180602,196.5586852006689
cross_mb_05min,Unity,Markerbased,5 min,10,301.0,29.321070234113712,29.0,4.595437355501564,99.33110367892976,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,90.98095467372852,139.624903051,50.832191780821915,459.09545135498047,459.03277587890625,307.90625,15.749163879598662,196.4470631270903
cross_ml_02min,Unity,Markerless,2 min,1,120.8,57.525,58.25,10.743739627172216,5.0,100.0,0.0,0.0,0.0,Nominal,0,0.0,0.0,113.47130061604271,155.536060049,50.16949152542373,448.06420135498047,448.00152587890625,280.453125,44.025,209.055859375
cross_ml_02min,Unity,Markerless,2 min,2,121.3,57.760330578512395,59.0,9.889409144288676,4.132231404958678,100.0,0.0,0.0,0.0,Nominal,1,770.1507369999999,770.1507369999999,112.50009721348717,139.412538639,50.53389830508475,448.5641632080078,448.5014877319336,282.28125,44.603305785123965,210.14695247933884
cross_ml_02min,Unity,Markerless,2 min,3,121.0,55.72727272727273,30.0,11.977757163453708,11.570247933884298,0.0,92.69903975911086,7.300960240889136,0.0,Fair,6,1071.784044,215.69941699999998,106.62906001185347,146.295854699,50.22222222222222,454.07982635498047,454.01715087890625,291.890625,41.446280991735534,211.1875
cross_ml_02min,Unity,Markerless,2 min,4,120.6,29.616666666666667,29.0,7.233423046081671,97.5,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,100.07754649082908,134.825876494,50.686440677966104,441.92350006103516,441.86082458496094,282.515625,17.075,194.690234375
cross_ml_02min,Unity,Markerless,2 min,5,120.5,30.075,29.0,7.236883237388637,98.33333333333333,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,103.61560928223932,134.020579177,50.440677966101696,439.67357635498047,439.61090087890625,279.921875,19.808333333333334,195.058203125
cross_ml_02min,Unity,Markerless,2 min,6,120.9,43.775,29.0,16.204814358805887,51.66666666666667,0.0,51.76917864198085,48.23082135801915,0.0,Fair,1,383.18134299999997,383.18134299999997,123.91630011192309,167.708596154,50.059322033898304,445.65787506103516,445.59519958496094,283.328125,42.19166666666667,206.43098958333334
cross_ml_02min,Unity,Markerless,2 min,7,120.5,29.225,29.0,7.450071907610788,98.33333333333333,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,98.01063598780343,138.572094562,49.76271186440678,425.1891632080078,425.1264877319336,265.40625,22.433333333333334,199.51380208333333
cross_ml_02min,Unity,Markerless,2 min,8,120.5,49.266666666666666,29.0,15.93565492972334,32.5,30.10475999026851,41.479503997397856,28.415736012333642,0.0,Fair,0,0.0,0.0,106.12615977862929,150.098116513,50.94017094017094,446.57975006103516,446.51707458496094,284.3125,39.13333333333333,209.71067708333334
cross_ml_02min,Unity,Markerless,2 min,9,120.5,30.166666666666668,29.0,7.485934523242539,98.33333333333333,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,104.51461484465518,143.663063788,50.21367521367522,426.7985382080078,426.7358627319336,267.046875,25.066666666666666,203.24518229166668
cross_ml_02min,Unity,Markerless,2 min,10,120.9,30.09917355371901,29.0,7.371572603225726,97.52066115702479,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,91.580275983547,153.431455756,49.644067796610166,423.9079132080078,423.8452377319336,264.125,21.628099173553718,197.23863636363637
cross_ml_05min,Unity,Markerless,5 min,1,301.0,52.80936454849498,29.0,13.91731741721409,21.070234113712374,29.490600327366412,51.49863360034787,19.010766072285715,0.0,Fair,2,288.00149999999996,164.300708,103.99820692704138,128.740488308,50.96907216494845,450.84545135498047,450.78277587890625,284.3125,33.792642140468224,229.99252717391303
cross_ml_05min,Unity,Markerless,5 min,2,300.9,29.474916387959865,29.0,4.940098181546713,99.33110367892976,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,98.00222350516839,120.862123431,50.23287671232877,441.54850006103516,441.48582458496094,283.375,24.585284280936456,199.22606605351172
cross_ml_05min,Unity,Markerless,5 min,3,300.9,29.535117056856187,29.0,4.553330984754075,98.99665551839465,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,100.88087668258562,144.102978248,50.32423208191126,438.25162506103516,438.18894958496094,278.546875,22.354515050167223,200.8421822742475
cross_ml_05min,Unity,Markerless,5 min,4,300.9,32.585284280936456,29.0,11.038458586044788,87.62541806020067,0.0,14.86805309717871,85.13194690282128,0.0,Serious,6,1237.644876,349.059209,100.31939411853104,126.551473659,50.5360824742268,458.82975006103516,458.76707458496094,295.359375,26.63545150501672,198.7018185618729
cross_ml_05min,Unity,Markerless,5 min,5,300.7,41.364548494983275,29.0,15.853911952833938,59.19732441471572,19.612097626532247,23.27952909863133,57.108373274836424,0.0,Serious,0,0.0,0.0,99.21165970248454,127.068396246,50.26712328767123,457.57982635498047,457.51715087890625,295.234375,33.79933110367893,202.5560723244147
cross_ml_05min,Unity,Markerless,5 min,6,301.0,29.421404682274247,29.0,5.048391002242361,99.33110367892976,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,94.36081056778424,155.280352987,50.23890784982935,444.95475006103516,444.89207458496094,282.46875,19.976588628762542,204.55466137123747
cross_ml_05min,Unity,Markerless,5 min,7,301.2,29.391304347826086,29.0,4.502503923547231,99.33110367892976,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,100.27435158160824,148.093269265,51.205479452054796,427.07975006103516,427.01707458496094,267.359375,17.816053511705686,196.51855142140468
cross_ml_05min,Unity,Markerless,5 min,8,300.8,29.347826086956523,29.0,4.53244311164043,99.33110367892976,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,98.4997226519347,145.711014273,50.50342465753425,445.0485382080078,444.9858627319336,285.265625,16.03344481605351,196.5923913043478
cross_ml_05min,Unity,Markerless,5 min,9,300.7,44.752508361204015,29.0,15.6243319984702,48.82943143812709,21.414656293460204,31.59074472988342,46.99459897665638,0.0,Serious,0,0.0,0.0,90.29610753821993,156.177666285,50.773972602739725,443.62670135498047,443.56402587890625,282.109375,25.431438127090303,203.33554556856188
cross_ml_05min,Unity,Markerless,5 min,10,300.7,29.234113712374583,29.0,5.015951748846638,98.99665551839465,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,97.41733250245704,169.142654425,50.47945205479452,441.0016632080078,440.9389877319336,281.234375,18.83277591973244,194.50804765886286
native_mb_02min,Xcode,Markerbased,2 min,1,120.7,58.63333333333333,58.0,6.519438720663995,3.3333333333333335,100.0,0.0,0.0,0.0,Nominal,0,0.0,0.0,59.3288355044017,136.493703294,13.44915254237288,307.2355422973633,307.17286682128906,87.1875,48.88333333333333,254.36549479166666
native_mb_02min,Xcode,Markerbased,2 min,2,121.2,58.289256198347104,59.0,7.987947187825045,3.3057851239669422,94.25832355380001,5.741676446199977,0.0,0.0,Nominal,2,787.135488,662.90953,61.80136701103418,118.735308673,13.296610169491526,303.8136291503906,303.7509536743164,85.234375,49.17355371900826,250.0386105371901
native_mb_02min,Xcode,Markerbased,2 min,3,121.3,58.82644628099174,59.0,6.236555788187385,3.3057851239669422,0.0,100.0,0.0,0.0,Fair,2,850.541091,741.465591,66.9081818704359,121.655695003,13.483050847457626,311.6261672973633,311.56349182128906,90.515625,48.82644628099174,254.7737603305785
native_mb_02min,Xcode,Markerbased,2 min,4,120.7,58.75833333333333,59.0,6.328534596575738,3.3333333333333335,96.21902029104544,3.780979708954566,0.0,0.0,Nominal,1,116.9335,116.9335,63.19681282543965,115.577104462,14.102564102564102,303.1886672973633,303.12599182128906,84.609375,52.166666666666664,257.83684895833335
native_mb_02min,Xcode,Markerbased,2 min,5,121.2,58.02479338842975,45.0,7.538194755064985,5.785123966942149,0.0,96.28079339061753,3.7192066093824665,0.0,Fair,0,0.0,0.0,67.71700961297435,116.21304034,14.076271186440678,291.9387435913086,291.8760681152344,74.578125,54.78512396694215,258.95170454545456
