trace,run,timestamp_s,gpu_device_util_percent,gpu_in_use_sys_mem_mb
native_mb_02min,1,109.793108,46.0,256.8125
native_mb_02min,1,110.80047300000001,47.0,256.8125
native_mb_02min,1,111.806514,45.0,256.8125
native_mb_02min,1,112.81007600000001,55.0,256.828125
native_mb_02min,1,113.81779800000001,50.0,256.8125
native_mb_02min,1,114.82929,52.0,257.0625
native_mb_02min,1,115.83957600000001,62.0,256.8125
native_mb_02min,1,116.847577,52.0,256.828125
native_mb_02min,1,117.853699,45.0,256.828125
native_mb_02min,1,118.86567000000001,43.0,256.828125
native_mb_02min,1,119.876568,44.0,256.828125
native_mb_02min,2,0.00046100000000000004,33.0,76.421875
native_mb_02min,2,1.012786,38.0,140.203125
native_mb_02min,2,2.023832,4.0,100.953125
native_mb_02min,2,3.029999,4.0,81.53125
native_mb_02min,2,4.036611000000001,0.0,75.21875
native_mb_02min,2,5.044696,47.0,272.53125
native_mb_02min,2,6.05304,55.0,259.25
native_mb_02min,2,7.063313000000001,54.0,259.140625
native_mb_02min,2,8.06869,55.0,259.515625
native_mb_02min,2,9.077971,54.0,259.140625
native_mb_02min,2,10.084285000000001,55.0,259.25
native_mb_02min,2,11.091136,55.0,259.265625
native_mb_02min,2,12.100008,55.0,259.140625
native_mb_02min,2,13.107397,54.0,259.140625
native_mb_02min,2,14.113348,54.0,259.25
native_mb_02min,2,15.118014,54.0,259.265625
native_mb_02min,2,16.127667000000002,54.0,259.25
native_mb_02min,2,17.134223000000002,54.0,259.140625
native_mb_02min,2,18.143393,54.0,259.140625
native_mb_02min,2,19.151494,54.0,259.265625
native_mb_02min,2,20.158484,51.0,312.03125
native_mb_02min,2,21.165385,51.0,256.015625
native_mb_02min,2,22.173069,49.0,255.578125
native_mb_02min,2,23.182392,48.0,255.6875
native_mb_02min,2,24.189279000000003,40.0,255.59375
native_mb_02min,2,25.196287,51.0,255.578125
native_mb_02min,2,26.202105000000003,43.0,255.578125
native_mb_02min,2,27.211423000000003,40.0,255.78125
native_mb_02min,2,28.220114000000002,43.0,255.578125
native_mb_02min,2,29.227157000000002,51.0,255.578125
native_mb_02min,2,30.242419,58.0,251.609375
native_mb_02min,2,31.245741000000002,59.0,255.5625
native_mb_02min,2,32.254768,56.0,255.578125
native_mb_02min,2,33.261778,59.0,255.578125
native_mb_02min,2,34.268221000000004,52.0,251.859375
native_mb_02min,2,35.274793,47.0,255.5625
native_mb_02min,2,36.281258,42.0,255.578125
native_mb_02min,2,37.29029,42.0,255.5625
native_mb_02min,2,38.29706,57.0,251.609375
native_mb_02min,2,39.308152,53.0,255.765625
native_mb_02min,2,40.316321,56.0,255.609375
native_mb_02min,2,41.323185,51.0,255.578125
native_mb_02min,2,42.329721,54.0,251.609375
native_mb_02min,2,43.339834,54.0,255.578125
native_mb_02min,2,44.349722,50.0,255.90625
native_mb_02min,2,45.357229000000004,52.0,255.609375
native_mb_02min,2,46.368572,53.0,251.609375
native_mb_02min,2,47.379004,54.0,255.828125
native_mb_02min,2,48.388233,54.0,255.5625
native_mb_02min,2,49.396643000000005,53.0,255.578125
native_mb_02min,2,50.399802,54.0,255.578125
native_mb_02min,2,51.41046600000001,54.0,255.5625
native_mb_02min,2,52.41861900000001,53.0,255.578125
native_mb_02min,2,53.432366,52.0,255.578125
native_mb_02min,2,54.441504,53.0,255.578125
native_mb_02min,2,55.452471,53.0,255.5625
native_mb_02min,2,56.465828,54.0,255.578125
native_mb_02min,2,57.4742,53.0,255.578125
native_mb_02min,2,58.488953,53.0,255.5625
native_mb_02min,2,59.500434000000006,52.0,281.609375
native_mb_02min,2,60.512109,53.0,255.8125
native_mb_02min,2,61.522547,52.0,255.5625
native_mb_02min,2,62.533577,52.0,255.5625
native_mb_02min,2,63.543183000000006,60.0,255.5625
native_mb_02min,2,64.55046800000001,57.0,255.578125
native_mb_02min,2,65.558823,50.0,255.5625
native_mb_02min,2,66.567887,52.0,255.578125
native_mb_02min,2,67.577841,63.0,255.578125
native_mb_02min,2,68.581259,49.0,255.5625
native_mb_02min,2,69.587286,47.0,255.578125
native_mb_02min,2,70.597255,45.0,255.578125
native_mb_02min,2,71.60537000000001,45.0,255.5625
native_mb_02min,2,72.608338,43.0,255.578125
native_mb_02min,2,73.61556800000001,54.0,255.828125
native_mb_02min,2,74.624229,51.0,255.5625
native_mb_02min,2,75.631386,49.0,255.578125
native_mb_02min,2,76.641216,55.0,255.578125
native_mb_02min,2,77.649405,54.0,255.578125
native_mb_02min,2,78.65840800000001,49.0,255.5625
native_mb_02min,2,79.66566300000001,49.0,255.578125
native_mb_02min,2,80.67317,48.0,255.578125
native_mb_02min,2,81.68346000000001,48.0,255.578125
native_mb_02min,2,82.69085000000001,47.0,255.578125
native_mb_02min,2,83.695323,48.0,255.578125
native_mb_02min,2,84.70470800000001,48.0,255.578125
native_mb_02min,2,85.714291,47.0,255.828125
native_mb_02min,2,86.72396,47.0,255.5625
native_mb_02min,2,87.73140000000001,46.0,255.578125
native_mb_02min,2,88.73653900000001,47.0,255.578125
native_mb_02min,2,89.74684,48.0,255.578125
native_mb_02min,2,90.754424,48.0,255.5625
native_mb_02min,2,91.75732400000001,48.0,255.578125
native_mb_02min,2,92.766053,48.0,255.578125
native_mb_02min,2,93.77091,49.0,255.578125
native_mb_02min,2,94.775452,48.0,255.5625
native_mb_02min,2,95.78592800000001,48.0,255.578125
native_mb_02min,2,96.788792,48.0,255.5625
native_mb_02min,2,97.79750100000001,48.0,255.5625
native_mb_02min,2,98.805092,49.0,255.8125
native_mb_02min,2,99.81354900000001,48.0,255.578125
native_mb_02min,2,100.82113600000001,49.0,255.5625
native_mb_02min,2,101.83103100000001,48.0,255.5625
native_mb_02min,2,102.841104,49.0,255.5625
native_mb_02min,2,103.848478,48.0,255.578125
native_mb_02min,2,104.85393,48.0,255.578125
native_mb_02min,2,105.863669,48.0,255.578125
native_mb_02min,2,106.87484500000001,49.0,255.578125
native_mb_02min,2,107.88448600000001,49.0,255.5625
native_mb_02min,2,108.89294000000001,48.0,255.5625
native_mb_02min,2,109.89592900000001,49.0,255.5625
native_mb_02min,2,110.90490500000001,49.0,255.5625
native_mb_02min,2,111.913549,49.0,255.8125
native_mb_02min,2,112.92130200000001,49.0,255.578125
native_mb_02min,2,113.931657,49.0,255.578125
native_mb_02min,2,114.94022500000001,49.0,255.578125
native_mb_02min,2,115.94963000000001,49.0,255.578125
native_mb_02min,2,116.957678,49.0,255.578125
native_mb_02min,2,117.96361200000001,49.0,255.578125
native_mb_02min,2,118.969524,49.0,255.578125
native_mb_02min,2,119.979303,49.0,255.578125
native_mb_02min,2,120.98456900000001,49.0,255.578125
native_mb_02min,3,0.000657,44.0,185.359375
native_mb_02min,3,1.018238,40.0,144.171875
native_mb_02min,3,2.030182,5.0,82.46875
native_mb_02min,3,3.0455180000000004,42.0,274.296875
native_mb_02min,3,4.055536,55.0,259.53125
native_mb_02min,3,5.0645370000000005,53.0,299.40625
native_mb_02min,3,6.074774000000001,55.0,260.765625
native_mb_02min,3,7.081663000000001,67.0,260.765625
native_mb_02min,3,8.089245,64.0,260.765625
native_mb_02min,3,9.098689,68.0,260.765625
native_mb_02min,3,10.106008000000001,61.0,260.765625
native_mb_02min,3,11.115321000000002,68.0,260.75
native_mb_02min,3,12.122344,66.0,260.765625
native_mb_02min,3,13.131718000000001,75.0,260.765625
native_mb_02min,3,14.138108,75.0,256.796875
native_mb_02min,3,15.145513000000001,51.0,260.765625
native_mb_02min,3,16.148699,43.0,261.015625
native_mb_02min,3,17.155724,46.0,260.75
native_mb_02min,3,18.164991,45.0,260.765625
native_mb_02min,3,19.170289,46.0,261.109375
native_mb_02min,3,20.180006000000002,45.0,260.796875
native_mb_02min,3,21.193961,43.0,260.78125
native_mb_02min,3,22.201135,50.0,261.078125
native_mb_02min,3,23.211237,53.0,260.765625
native_mb_02min,3,24.218281,48.0,261.109375
native_mb_02min,3,25.227738000000002,46.0,260.75
native_mb_02min,3,26.23347,46.0,260.765625
native_mb_02min,3,27.246105,46.0,260.765625
native_mb_02min,3,28.260114,46.0,260.765625
native_mb_02min,3,29.268562000000003,52.0,260.0
native_mb_02min,3,30.275163000000003,54.0,259.703125
native_mb_02min,3,31.282221000000003,55.0,259.90625
native_mb_02min,3,32.289752,56.0,260.0625
native_mb_02min,3,33.296746,52.0,259.921875
native_mb_02min,3,34.302011,52.0,259.71875
native_mb_02min,3,35.311493,51.0,257.25
native_mb_02min,3,36.323832,46.0,256.703125
native_mb_02min,3,37.336346,46.0,252.203125
native_mb_02min,3,38.345690000000005,46.0,256.1875
native_mb_02min,3,39.355197000000004,46.0,256.171875
native_mb_02min,3,40.36518,46.0,256.1875
native_mb_02min,3,41.370123,46.0,252.21875
native_mb_02min,3,42.376947,46.0,256.171875
native_mb_02min,3,43.384296000000006,46.0,256.703125
native_mb_02min,3,44.391411000000005,54.0,256.1875
native_mb_02min,3,45.396448,59.0,256.171875
native_mb_02min,3,46.402939,43.0,256.1875
native_mb_02min,3,47.414861,43.0,256.1875
native_mb_02min,3,48.422046,43.0,256.171875
native_mb_02min,3,49.434846,43.0,256.1875
native_mb_02min,3,50.445932000000006,44.0,256.1875
native_mb_02min,3,51.453086000000006,43.0,256.171875
native_mb_02min,3,52.468662,44.0,256.171875
native_mb_02min,3,53.479960000000005,43.0,256.1875
native_mb_02min,3,54.488524000000005,43.0,256.421875
native_mb_02min,3,55.500455,44.0,256.171875
native_mb_02min,3,56.507586,43.0,256.171875
native_mb_02min,3,57.515272,43.0,256.171875
native_mb_02min,3,58.523575,44.0,256.1875
native_mb_02min,3,59.53163300000001,43.0,256.1875
native_mb_02min,3,60.538719,43.0,256.171875
native_mb_02min,3,61.541249,44.0,256.1875
native_mb_02min,3,62.54867,43.0,256.171875
native_mb_02min,3,63.55299600000001,44.0,256.1875
native_mb_02min,3,64.56227700000001,53.0,256.1875
native_mb_02min,3,65.573238,64.0,256.375
native_mb_02min,3,66.580151,59.0,256.171875
native_mb_02min,3,67.58729600000001,65.0,256.609375
native_mb_02min,3,68.595883,49.0,260.140625
native_mb_02min,3,69.60451900000001,45.0,256.1875
native_mb_02min,3,70.60947,44.0,256.171875
native_mb_02min,3,71.616847,44.0,256.171875
native_mb_02min,3,72.62607,51.0,256.171875
native_mb_02min,3,73.634011,47.0,256.171875
native_mb_02min,3,74.638908,44.0,256.171875
native_mb_02min,3,75.647665,43.0,256.171875
native_mb_02min,3,76.655861,45.0,256.1875
native_mb_02min,3,77.667569,44.0,256.171875
native_mb_02min,3,78.678122,42.0,256.1875
native_mb_02min,3,79.685343,42.0,256.1875
native_mb_02min,3,80.691176,58.0,256.421875
native_mb_02min,3,81.69539900000001,71.0,258.09375
native_mb_02min,3,82.703067,54.0,256.265625
native_mb_02min,3,83.7056,44.0,256.53125
native_mb_02min,3,84.711117,54.0,256.21875
native_mb_02min,3,85.719606,55.0,256.1875
native_mb_02min,3,86.727221,54.0,256.1875
native_mb_02min,3,87.73693,54.0,256.171875
native_mb_02min,3,88.74692900000001,49.0,256.1875
native_mb_02min,3,89.755632,47.0,256.171875
native_mb_02min,3,90.75968300000001,49.0,256.171875
native_mb_02min,3,91.768314,54.0,256.171875
native_mb_02min,3,92.777613,46.0,256.171875
native_mb_02min,3,93.78639600000001,46.0,256.421875
native_mb_02min,3,94.793598,45.0,256.171875
native_mb_02min,3,95.801658,46.0,256.1875
native_mb_02min,3,96.809076,51.0,256.1875
native_mb_02min,3,97.81640700000001,47.0,256.1875
native_mb_02min,3,98.82631300000001,49.0,256.171875
native_mb_02min,3,99.836567,46.0,256.1875
native_mb_02min,3,100.844058,49.0,256.1875
native_mb_02min,3,101.85034,50.0,256.1875
native_mb_02min,3,102.853497,46.0,256.1875
native_mb_02min,3,103.858438,48.0,256.1875
native_mb_02min,3,104.865485,46.0,256.1875
native_mb_02min,3,105.875591,46.0,256.1875
native_mb_02min,3,106.88607400000001,48.0,256.421875
native_mb_02min,3,107.890437,48.0,256.1875
native_mb_02min,3,108.89887200000001,49.0,256.171875
native_mb_02min,3,109.909422,44.0,256.203125
native_mb_02min,3,110.91656200000001,37.0,254.734375
native_mb_02min,3,111.92144200000001,37.0,254.75
native_mb_02min,3,112.930436,37.0,254.734375
native_mb_02min,3,113.936563,42.0,254.75
native_mb_02min,3,114.94352900000001,58.0,256.1875
native_mb_02min,3,115.95087500000001,44.0,256.1875
native_mb_02min,3,116.95683000000001,46.0,256.1875
native_mb_02min,3,117.963468,47.0,256.1875
native_mb_02min,3,118.97117,47.0,256.1875
native_mb_02min,3,119.980777,53.0,256.4375
native_mb_02min,3,120.986744,61.0,256.1875
native_mb_02min,4,0.000496,27.0,191.140625
native_mb_02min,4,1.016103,42.0,146.5625
native_mb_02min,4,2.0244660000000003,5.0,82.515625
native_mb_02min,4,3.034716,39.0,266.390625
native_mb_02min,4,4.045096,55.0,259.484375
native_mb_02min,4,5.050637,55.0,259.5
native_mb_02min,4,6.057189,56.0,259.453125
native_mb_02min,4,7.060720000000001,54.0,259.578125
native_mb_02min,4,8.067353,55.0,259.3125
native_mb_02min,4,9.078215,55.0,259.328125
native_mb_02min,4,10.085091,54.0,259.328125
native_mb_02min,4,11.093074000000001,54.0,259.53125
native_mb_02min,4,12.100551000000001,53.0,299.3125
native_mb_02min,4,13.106091000000001,51.0,263.0625
native_mb_02min,4,14.116285000000001,56.0,260.765625
native_mb_02min,4,15.123230000000001,67.0,260.75
native_mb_02min,4,16.1299,73.0,256.796875
native_mb_02min,4,17.132740000000002,64.0,260.765625
native_mb_02min,4,18.137491,62.0,260.75
native_mb_02min,4,19.146751000000002,62.0,260.765625
native_mb_02min,4,20.154353,59.0,257.046875
native_mb_02min,4,21.159055000000002,58.0,260.765625
native_mb_02min,4,22.168247,57.0,260.765625
native_mb_02min,4,23.172215,57.0,260.765625
native_mb_02min,4,24.180884000000002,58.0,256.96875
native_mb_02min,4,25.190065,54.0,260.75
native_mb_02min,4,26.200176000000003,54.0,260.9375
native_mb_02min,4,27.204083,63.0,260.765625
native_mb_02min,4,28.213284,62.0,260.75
native_mb_02min,4,29.219859000000003,48.0,260.765625
native_mb_02min,4,30.230468000000002,47.0,260.765625
native_mb_02min,4,31.240945000000004,46.0,260.75
native_mb_02min,4,32.249781,46.0,260.765625
native_mb_02min,4,33.259392000000005,46.0,261.015625
native_mb_02min,4,34.269498,47.0,260.75
native_mb_02min,4,35.278321000000005,46.0,260.765625
native_mb_02min,4,36.287514,46.0,260.765625
native_mb_02min,4,37.297137,47.0,260.953125
native_mb_02min,4,38.301874000000005,48.0,260.75
native_mb_02min,4,39.308925,47.0,256.78125
